,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 02:52:00,56.0,57.0,50.0,54.0,49.0,46.0,48.0,56.0
2023-05-01 02:53:00,56.0,52.0,50.0,54.0,48.0,46.0,48.0,56.0
2023-05-01 02:54:00,59.0,53.0,55.0,52.0,48.0,46.0,48.0,56.0
2023-05-01 02:55:00,59.0,54.0,52.0,52.0,48.0,46.0,48.0,56.0
2023-05-01 02:56:00,59.0,53.0,54.0,52.0,48.0,46.0,48.0,56.0
2023-05-01 02:57:00,59.0,51.0,53.0,52.0,48.0,46.0,48.0,56.0
2023-05-01 02:58:00,59.0,52.0,58.0,53.0,52.0,46.0,48.0,56.0
2023-05-01 02:59:00,59.0,51.0,50.0,58.0,47.0,46.0,48.0,56.0
2023-05-01 03:00:00,59.0,52.0,54.0,59.0,47.0,46.0,48.0,56.0
2023-05-01 03:01:00,59.0,52.0,57.0,53.0,50.0,47.0,48.0,56.0
2023-05-01 03:02:00,59.0,50.0,55.0,51.0,47.0,47.0,48.0,50.0
2023-05-01 03:03:00,59.0,55.0,51.0,51.0,52.0,47.0,48.0,50.0
2023-05-01 03:04:00,59.0,53.0,49.0,55.0,49.0,47.0,48.0,50.0
2023-05-01 03:05:00,59.0,51.0,49.0,52.0,50.0,47.0,48.0,50.0
2023-05-01 03:06:00,59.0,51.0,49.0,52.0,51.0,47.0,48.0,50.0
2023-05-01 03:07:00,59.0,53.0,49.0,55.0,48.0,47.0,48.0,50.0
2023-05-01 03:08:00,59.0,54.0,49.0,52.0,50.0,47.0,48.0,50.0
2023-05-01 03:09:00,59.0,54.0,49.0,56.0,47.0,47.0,48.0,50.0
2023-05-01 03:10:00,59.0,51.0,49.0,50.0,50.0,47.0,48.0,50.0
2023-05-01 03:11:00,59.0,53.0,49.0,55.0,47.0,47.0,48.0,50.0
2023-05-01 03:12:00,59.0,53.0,49.0,55.0,46.0,47.0,48.0,52.0
2023-05-01 03:13:00,59.0,53.0,49.0,54.0,48.0,47.0,48.0,56.0
2023-05-01 03:14:00,59.0,53.5,49.0,56.0,49.0,47.0,48.0,52.0
2023-05-01 03:15:00,59.0,52.5,49.0,54.0,47.0,47.0,48.0,53.0
2023-05-01 03:16:00,59.0,51.0,49.0,55.0,46.0,47.0,48.0,56.0
2023-05-01 03:17:00,59.0,53.3,49.0,51.0,46.0,47.0,48.0,51.0
2023-05-01 03:18:00,59.0,53.3,49.0,57.0,46.0,47.0,45.0,51.0
2023-05-01 03:19:00,60.0,53.3,49.0,56.0,46.0,47.0,45.0,51.0
2023-05-01 03:20:00,60.0,53.0,49.0,55.0,46.0,47.0,45.0,48.0
2023-05-01 03:21:00,59.0,51.3,51.0,54.0,46.0,47.0,45.0,48.0
2023-05-01 03:22:00,59.0,51.7,51.0,55.0,46.0,47.0,45.0,55.0
2023-05-01 03:23:00,59.0,53.7,51.0,55.0,46.0,47.0,45.0,55.0
2023-05-01 03:24:00,59.0,54.0,51.0,55.0,46.0,47.0,45.0,53.5
2023-05-01 03:25:00,58.0,52.7,51.0,58.0,46.0,47.0,45.0,52.0
2023-05-01 03:26:00,58.0,55.0,51.0,53.0,46.0,47.0,45.0,56.0
2023-05-01 03:27:00,58.0,53.0,51.0,56.0,49.0,47.0,45.0,53.0
2023-05-01 03:28:00,58.0,51.7,51.0,56.0,49.0,47.0,45.0,51.5
2023-05-01 03:29:00,53.0,53.3,51.0,52.0,49.0,47.0,45.0,54.0
2023-05-01 03:30:00,53.0,52.0,51.0,52.0,49.0,47.0,45.0,51.5
2023-05-01 03:31:00,54.0,56.0,51.0,56.0,49.0,47.0,45.0,54.5
2023-05-01 03:32:00,54.0,53.3,51.0,55.0,49.0,46.0,45.0,55.0
2023-05-01 03:33:00,54.0,53.7,51.0,55.0,49.0,47.0,45.0,55.0
2023-05-01 03:34:00,54.0,52.0,51.0,54.0,49.0,46.0,45.0,53.0
2023-05-01 03:35:00,53.0,53.0,51.0,57.0,49.0,46.0,45.0,54.0
2023-05-01 03:36:00,53.0,54.0,51.0,56.0,49.0,46.0,45.0,53.5
2023-05-01 03:37:00,56.0,51.0,51.0,55.0,49.0,47.0,45.0,55.5
2023-05-01 03:38:00,56.5,53.0,52.5,53.0,48.0,47.0,45.0,55.5
2023-05-01 03:39:00,57.5,53.0,51.5,56.0,48.0,48.0,45.0,53.5
2023-05-01 03:40:00,56.0,53.0,54.5,56.0,50.0,50.0,45.0,54.5
2023-05-01 03:41:00,56.5,53.0,54.0,56.0,51.0,50.0,45.0,56.5
2023-05-01 03:42:00,56.5,54.0,52.5,56.0,49.0,50.0,45.0,56.0
2023-05-01 03:43:00,56.5,54.0,52.5,56.0,49.0,50.0,45.0,56.0
2023-05-01 03:44:00,57.5,55.0,52.5,56.0,47.0,50.0,45.0,56.0
2023-05-01 03:45:00,57.0,54.0,51.5,51.0,47.0,50.0,45.0,56.0
2023-05-01 03:46:00,57.0,53.0,55.0,51.0,51.0,50.0,45.0,56.0
2023-05-01 03:47:00,55.0,53.0,51.5,51.0,53.0,50.0,45.0,61.0
2023-05-01 03:48:00,56.0,49.0,58.5,51.0,47.0,49.0,44.0,61.0
2023-05-01 03:49:00,56.0,52.0,55.5,51.0,52.5,49.0,45.0,61.0
2023-05-01 03:50:00,56.0,52.0,53.5,51.0,55.0,49.0,45.0,61.0
2023-05-01 03:51:00,56.0,53.0,53.0,54.0,55.0,49.0,44.5,52.0
2023-05-01 03:52:00,56.0,54.5,57.0,57.0,50.0,49.0,45.0,58.0
2023-05-01 03:53:00,56.0,53.5,55.5,51.0,50.5,49.0,45.5,60.0
2023-05-01 03:54:00,56.0,53.0,54.0,54.0,54.5,49.0,47.0,65.0
2023-05-01 03:55:00,56.0,51.0,53.5,52.0,54.5,49.0,45.5,55.0
