,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 03:24:00,57.0,56.0,54.2,52.7,47.0,50.0,45.0,53.0
2023-05-01 03:25:00,57.0,55.5,53.0,51.9,50.5,49.0,44.7,54.0
2023-05-01 03:26:00,53.7,54.8,54.2,50.9,49.0,45.7,45.3,52.0
2023-05-01 03:27:00,56.0,54.8,56.8,51.3,48.0,46.3,44.0,49.2
2023-05-01 03:28:00,52.3,56.3,55.0,49.5,48.3,45.7,45.0,51.2
2023-05-01 03:29:00,53.0,54.3,54.8,52.0,50.3,46.0,45.0,50.0
2023-05-01 03:30:00,53.0,54.7,52.6,50.7,47.7,46.0,45.0,52.0
2023-05-01 03:31:00,51.6,52.6,53.8,52.5,48.7,46.0,45.0,53.3
2023-05-01 03:32:00,52.6,53.8,49.7,51.8,48.0,46.5,46.0,50.3
2023-05-01 03:33:00,51.2,52.8,53.0,52.2,47.3,46.0,45.0,52.0
2023-05-01 03:34:00,49.2,52.2,52.3,53.0,46.0,47.0,45.0,51.5
2023-05-01 03:35:00,49.0,54.2,51.0,51.8,47.0,46.0,45.0,48.3
2023-05-01 03:36:00,50.0,51.6,50.5,51.4,47.5,46.0,44.5,50.8
2023-05-01 03:37:00,52.5,54.0,52.0,51.7,47.0,46.0,44.5,52.3
2023-05-01 03:38:00,52.0,53.6,54.8,53.5,46.5,47.0,44.5,49.0
2023-05-01 03:39:00,50.0,53.0,51.8,53.8,48.0,47.0,44.5,50.7
2023-05-01 03:40:00,49.7,52.8,53.5,53.6,48.5,46.0,44.5,50.0
2023-05-01 03:41:00,49.3,54.4,55.2,54.7,48.0,47.0,44.0,50.5
2023-05-01 03:42:00,53.2,53.8,55.8,54.0,47.0,46.0,44.0,48.0
2023-05-01 03:43:00,52.8,54.6,55.5,54.3,46.0,51.0,45.0,53.0
2023-05-01 03:44:00,54.4,54.8,56.8,53.0,48.0,47.0,44.0,51.5
2023-05-01 03:45:00,54.2,54.6,56.0,56.3,46.0,48.5,44.0,60.0
2023-05-01 03:46:00,54.6,53.6,53.0,59.5,47.0,45.5,44.0,54.5
2023-05-01 03:47:00,53.8,52.6,57.0,52.2,47.0,48.5,44.0,54.0
2023-05-01 03:48:00,54.0,53.8,56.4,51.8,46.0,46.5,44.0,50.0
2023-05-01 03:49:00,54.2,55.3,57.0,52.5,48.7,46.5,47.5,49.5
2023-05-01 03:50:00,54.5,54.0,54.3,51.8,49.3,47.0,47.5,50.0
2023-05-01 03:51:00,54.0,52.0,54.4,52.2,48.5,47.0,47.5,49.2
2023-05-01 03:52:00,52.5,53.0,54.2,51.2,46.2,47.0,47.5,48.8
2023-05-01 03:53:00,51.2,55.0,55.8,52.5,47.2,47.0,45.5,47.8
2023-05-01 03:54:00,51.5,54.8,55.5,52.2,47.8,46.0,44.5,49.8
2023-05-01 03:55:00,49.2,53.6,56.6,55.5,47.2,46.0,47.0,53.2
2023-05-01 03:56:00,51.6,55.0,55.3,54.0,46.7,46.0,45.5,51.0
2023-05-01 03:57:00,50.2,55.0,55.6,54.2,47.5,46.0,45.5,51.5
2023-05-01 03:58:00,52.2,56.2,55.5,53.5,47.0,46.0,46.0,51.2
2023-05-01 03:59:00,53.5,52.5,58.3,52.8,47.5,46.0,48.0,50.2
2023-05-01 04:00:00,53.5,50.8,57.2,52.8,48.0,46.0,46.0,50.5
2023-05-01 04:01:00,56.0,55.0,56.2,51.0,46.0,46.0,45.0,54.2
2023-05-01 04:02:00,56.3,53.5,57.7,52.8,48.0,46.0,52.0,51.0
2023-05-01 04:03:00,56.0,53.0,58.7,52.0,46.0,46.0,49.0,50.0
2023-05-01 04:04:00,57.7,52.0,56.0,52.7,48.0,46.0,48.0,50.8
2023-05-01 04:05:00,61.0,53.0,55.8,51.2,52.5,46.0,49.0,50.8
2023-05-01 04:06:00,61.0,49.0,55.7,51.8,50.0,46.0,46.0,49.8
2023-05-01 04:07:00,63.0,50.0,56.5,54.2,48.3,46.0,49.0,51.0
2023-05-01 04:08:00,62.0,50.0,57.5,54.0,49.0,60.0,46.0,51.7
2023-05-01 04:09:00,55.5,49.0,55.2,52.5,52.5,60.0,45.0,50.0
2023-05-01 04:10:00,57.5,52.0,58.7,53.4,49.7,60.0,48.0,51.0
2023-05-01 04:11:00,57.0,51.3,55.5,52.5,49.2,60.0,46.0,51.0
2023-05-01 04:12:00,57.3,51.3,57.8,51.8,49.5,60.0,44.0,51.0
2023-05-01 04:13:00,59.0,53.5,56.0,52.8,51.0,60.0,45.0,51.2
2023-05-01 04:14:00,60.7,54.2,56.6,52.7,49.4,60.0,46.0,50.3
2023-05-01 04:15:00,56.6,51.8,56.2,54.0,51.8,60.0,46.0,50.3
2023-05-01 04:16:00,55.7,54.0,56.8,52.8,51.5,60.0,47.0,52.0
2023-05-01 04:17:00,56.8,54.5,56.8,54.5,52.2,55.0,46.0,50.0
2023-05-01 04:18:00,54.7,54.5,59.3,52.4,50.0,67.0,46.0,51.3
2023-05-01 04:19:00,55.5,54.7,56.2,54.8,52.3,59.0,45.0,50.0
2023-05-01 04:20:00,57.0,54.4,58.8,53.8,52.3,56.0,46.0,53.0
2023-05-01 04:21:00,54.2,55.4,58.2,55.3,53.7,62.0,44.0,53.0
2023-05-01 04:22:00,54.8,58.5,57.0,57.0,53.5,60.0,44.0,53.0
2023-05-01 04:23:00,55.2,56.0,59.5,53.6,56.0,64.0,44.0,53.0
2023-05-01 04:24:00,55.0,56.2,57.5,54.3,58.0,52.0,45.0,51.0
2023-05-01 04:25:00,56.0,55.7,60.7,54.3,54.0,53.0,46.5,51.0
2023-05-01 04:26:00,58.0,54.0,56.0,56.0,57.0,63.0,46.0,51.0
2023-05-01 04:27:00,56.0,57.0,54.3,53.6,52.0,58.0,45.7,52.0
2023-05-01 04:28:00,56.0,57.3,54.3,53.4,53.0,62.0,46.7,48.0
2023-05-01 04:29:00,56.5,59.5,59.3,53.8,53.0,55.0,45.5,49.0
2023-05-01 04:30:00,56.0,57.0,60.5,52.0,58.0,56.0,45.2,48.5
2023-05-01 04:31:00,52.7,54.3,60.5,52.3,53.0,53.0,44.7,48.5
2023-05-01 04:32:00,52.3,55.2,61.3,52.7,57.0,51.3,44.7,52.3
2023-05-01 04:33:00,52.3,54.0,59.5,55.0,51.0,51.0,45.5,54.3
2023-05-01 04:34:00,51.0,55.3,60.8,52.5,51.0,55.7,45.0,50.0
2023-05-01 04:35:00,48.5,57.5,60.8,52.0,47.0,55.0,46.0,51.7
2023-05-01 04:36:00,47.0,55.5,62.5,52.0,47.0,48.0,46.8,52.0
2023-05-01 04:37:00,50.8,55.5,59.0,55.0,49.0,49.3,46.5,50.5
2023-05-01 04:38:00,54.3,57.8,58.5,58.0,48.0,48.0,46.8,52.0
2023-05-01 04:39:00,50.8,59.0,60.8,56.0,47.0,47.3,47.0,48.0
2023-05-01 04:40:00,51.4,55.0,61.8,56.5,48.0,46.8,46.2,51.0
2023-05-01 04:41:00,49.8,59.7,56.7,52.7,47.0,46.0,45.2,50.0
2023-05-01 04:42:00,54.4,58.0,61.5,54.3,54.0,46.0,45.2,55.0
2023-05-01 04:43:00,53.4,58.7,59.0,53.3,54.0,46.0,45.8,52.0
2023-05-01 04:44:00,53.8,56.0,52.5,54.0,48.0,46.7,44.8,52.0
2023-05-01 04:45:00,58.7,59.0,55.0,57.0,51.0,46.7,45.0,50.0
2023-05-01 04:46:00,59.3,54.7,55.0,55.4,52.0,46.3,44.8,53.0
2023-05-01 04:47:00,56.7,57.3,48.0,53.5,56.0,46.7,45.0,55.0
2023-05-01 04:48:00,56.0,57.0,50.0,52.8,58.0,46.3,44.3,49.5
2023-05-01 04:49:00,57.3,55.0,52.0,55.2,52.0,46.0,46.3,51.5
2023-05-01 04:50:00,57.3,56.0,55.0,53.6,53.0,46.0,45.7,52.0
2023-05-01 04:51:00,57.0,56.5,57.0,54.4,50.7,47.0,46.0,52.5
2023-05-01 04:52:00,57.7,55.5,58.0,56.3,50.0,48.3,45.5,53.3
